the man put the box [MASK] the desk . [SEP]
on	-0.024858718737959862
onto	-4.5792059898376465
behind	-6.162484645843506
beside	-6.300872802734375
under	-6.474620819091797
to	-6.596068382263184
across	-6.6376495361328125
upon	-6.898341178894043
by	-7.036227226257324
against	-7.176295280456543
in	-7.28343391418457
at	-7.335084915161133
atop	-8.10306453704834
into	-8.245591163635254
over	-8.625138282775879
off	-8.854363441467285
down	-8.866089820861816
near	-9.134932518005371
beneath	-9.167030334472656
along	-9.174006462097168
around	-9.258810043334961
underneath	-9.293989181518555
inside	-9.787093162536621
from	-9.87308120727539
with	-10.058693885803223
before	-10.068737983703613
below	-10.189057350158691
above	-10.192815780639648
toward	-10.268440246582031
alongside	-10.350387573242188
and	-10.868185043334961
facing	-11.053780555725098
outside	-11.582405090332031
towards	-11.583976745605469
within	-11.690103530883789
through	-11.724274635314941
for	-11.737306594848633
back	-11.823810577392578
next	-12.000285148620605
about	-12.045412063598633
between	-12.077851295471191
,	-12.422378540039062
.	-12.45311450958252
of	-12.480059623718262
drawer	-12.593096733093262
opposite	-12.679701805114746
up	-12.708538055419922
there	-12.73168659210205
aside	-12.780466079711914
after	-12.94880199432373


the man moved the box [MASK] the desk . [SEP]
across	-1.4154826402664185
to	-1.6975747346878052
off	-2.1688387393951416
on	-2.628453493118286
onto	-2.6794300079345703
around	-2.7295780181884766
toward	-2.8020098209381104
from	-2.865507125854492
behind	-3.100877046585083
under	-3.8560001850128174
over	-4.341601371765137
towards	-4.380829811096191
along	-4.721590042114258
against	-5.080696105957031
beneath	-5.416079521179199
underneath	-5.957307815551758
beside	-5.97884464263916
into	-6.055633544921875
down	-6.175235271453857
near	-6.429763317108154
above	-6.504678726196289
round	-6.647397994995117
by	-6.953920364379883
at	-7.287689685821533
past	-7.417628288269043
of	-7.449913501739502
inside	-7.480440139770508
atop	-7.529743194580078
below	-7.69299840927124
in	-7.702478885650635
alongside	-7.748694896697998
upon	-7.757481098175049
before	-7.9173197746276855
about	-7.930461883544922
through	-8.254014015197754
between	-8.450263023376465
up	-8.558086395263672
and	-8.630648612976074
for	-8.675228118896484
with	-8.715933799743652
beyond	-9.14792537689209
nearer	-9.148022651672363
out	-9.162430763244629
among	-9.21255111694336
away	-9.409370422363281
back	-9.467729568481445
outside	-9.543072700500488
facing	-9.562747955322266
,	-9.575946807861328
.	-9.695490837097168


the man loaded the box [MASK] the desk . [SEP]
onto	-0.5643921494483948
on	-0.9328271150588989
into	-4.017538070678711
under	-5.490832328796387
off	-5.906074523925781
across	-6.038119316101074
in	-6.273058891296387
to	-6.7544145584106445
atop	-6.965049743652344
behind	-7.055843353271484
down	-7.197737693786621
upon	-7.475210189819336
from	-7.630041122436523
over	-7.817783355712891
at	-7.837465286254883
inside	-7.8910908699035645
against	-7.907539367675781
beneath	-7.969136714935303
underneath	-8.113088607788086
up	-8.429244041442871
beside	-8.457132339477539
along	-8.707317352294922
with	-8.736169815063477
around	-8.801788330078125
above	-9.185215950012207
for	-9.531631469726562
toward	-9.557828903198242
below	-9.586618423461914
by	-9.806219100952148
through	-9.952378273010254
near	-10.218426704406738
aboard	-10.271196365356445
of	-10.562116622924805
within	-10.599177360534668
out	-10.646339416503906
and	-10.843921661376953
towards	-11.070602416992188
alongside	-11.14223575592041
round	-11.445466041564941
.	-11.57289981842041
as	-11.672873497009277
before	-11.695771217346191
between	-11.716958045959473
,	-11.835464477539062
using	-11.939661026000977
among	-11.949435234069824
back	-11.963644027709961
away	-12.211166381835938
outside	-12.261436462402344
throughout	-12.341463088989258


the man took the box [MASK] the desk . [SEP]
off	-0.6827172040939331
from	-1.0542963743209839
to	-2.2764270305633545
across	-4.166172027587891
onto	-5.318614959716797
behind	-5.450393199920654
on	-5.474061965942383
under	-5.884177207946777
over	-6.026233673095703
toward	-6.880785942077637
around	-6.933725357055664
by	-7.003053188323975
beside	-7.6907806396484375
into	-7.718866348266602
at	-7.725250720977783
towards	-7.847514629364014
beneath	-7.932250022888184
near	-8.090015411376953
and	-8.120259284973145
for	-8.214245796203613
along	-8.275378227233887
of	-8.285799026489258
down	-8.307321548461914
underneath	-8.370670318603516
out	-8.644425392150879
above	-8.692216873168945
past	-8.905137062072754
back	-9.0613431930542
round	-9.347134590148926
against	-9.367849349975586
up	-9.449061393737793
with	-9.453522682189941
.	-9.52287483215332
inside	-9.608476638793945
,	-9.683937072753906
alongside	-9.769174575805664
below	-9.816439628601074
outside	-9.862873077392578
atop	-9.905122756958008
in	-10.021644592285156
before	-10.114709854125977
away	-10.147900581359863
nearest	-10.286439895629883
through	-10.361820220947266
upon	-10.421382904052734
between	-10.637395858764648
opposite	-10.68411922454834
as	-10.755833625793457
drawer	-10.88083553314209
