Task 1 Pronoun vs Short Definite Noun Recipients,,,,,Task 2: Short Definite Noun vs Short Indefinite Noun Recipients,,,,,Task 3: Short Definite Noun vs Long Definite Noun Recipients,,,,,Task 4: Short Definite Noun vs Long Indefinite Noun Recipients,,,
Pronoun DO,Pronoun PD,Short Definite Noun DO,Short Definite Noun PD,,Short Definite Noun DO,Short Definite Noun DO,Short Indefinite Noun DO,Short Indefinite Noun PD,,Short Definite Noun DO,Short Definite Noun PD,Long Definite Noun DO,Long Definite Noun PD,,Short Definite Noun DO,Short Definite Noun PD,Long Indefinite Noun DO,Long Indefinite Noun PD
[CLS] the man dropped her the news . [SEP],[CLS] the man dropped the news to her . [SEP],[CLS] the man dropped the woman the news . [SEP],[CLS] the man dropped the news to the woman . [SEP],,[CLS] the man dropped the woman the news . [SEP],[CLS] the man dropped the news to the woman . [SEP],[CLS] the man dropped a woman the news . [SEP],[CLS] the man dropped the news to a woman . [SEP],,[CLS] the man dropped the woman the news . [SEP],[CLS] the man dropped the news to the woman . [SEP],[CLS] the man dropped the friend from childhood the news . [SEP],[CLS] the man dropped the news to the friend from childhood . [SEP],,[CLS] the man dropped the woman the news . [SEP],[CLS] the man dropped the news to the woman . [SEP],[CLS] the man dropped a friend from childhood the news . [SEP],[CLS] the man dropped the news to a friend from childhood . [SEP]
[CLS] the woman dropped him the news . [SEP],[CLS] the woman dropped the news to him . [SEP],[CLS] the woman dropped the man the news . [SEP],[CLS] the woman dropped the news to the man . [SEP],,[CLS] the woman dropped the man the news . [SEP],[CLS] the woman dropped the news to the man . [SEP],[CLS] the woman dropped a man the news . [SEP],[CLS] the woman dropped the news to a man . [SEP],,[CLS] the woman dropped the man the news . [SEP],[CLS] the woman dropped the news to the man . [SEP],[CLS] the woman dropped the friend from childhood the news . [SEP],[CLS] the woman dropped the news to the friend from childhood . [SEP],,[CLS] the woman dropped the man the news . [SEP],[CLS] the woman dropped the news to the man . [SEP],[CLS] the woman dropped a friend from childhood the news . [SEP],[CLS] the woman dropped the news to a friend from childhood . [SEP]
[CLS] the man credited her the award . [SEP],[CLS] the man credited the award to her . [SEP],[CLS] the man credited the woman the award . [SEP],[CLS] the man credited the award to the woman . [SEP],,[CLS] the man credited the woman the award . [SEP],[CLS] the man credited the award to the woman . [SEP],[CLS] the man credited a woman the award . [SEP],[CLS] the man credited the award to a woman . [SEP],,[CLS] the man credited the woman the award . [SEP],[CLS] the man credited the award to the woman . [SEP],[CLS] the man credited the friend from childhood the award . [SEP],[CLS] the man credited the award to the friend from childhood . [SEP],,[CLS] the man credited the woman the award . [SEP],[CLS] the man credited the award to the woman . [SEP],[CLS] the man credited a friend from childhood the award . [SEP],[CLS] the man credited the award to a friend from childhood . [SEP]
[CLS] the woman credited him the award . [SEP],[CLS] the woman credited the award to him . [SEP],[CLS] the woman credited the man the award . [SEP],[CLS] the woman credited the award to the man . [SEP],,[CLS] the woman credited the man the award . [SEP],[CLS] the woman credited the award to the man . [SEP],[CLS] the woman credited a man the award . [SEP],[CLS] the woman credited the award to a man . [SEP],,[CLS] the woman credited the man the award . [SEP],[CLS] the woman credited the award to the man . [SEP],[CLS] the woman credited the friend from childhood the award . [SEP],[CLS] the woman credited the award to the friend from childhood . [SEP],,[CLS] the woman credited the man the award . [SEP],[CLS] the woman credited the award to the man . [SEP],[CLS] the woman credited a friend from childhood the award . [SEP],[CLS] the woman credited the award to a friend from childhood . [SEP]
[CLS] the man furnished her the fund . [SEP],[CLS] the man furnished the fund to her . [SEP],[CLS] the man furnished the woman the fund . [SEP],[CLS] the man furnished the fund to the woman . [SEP],,[CLS] the man furnished the woman the fund . [SEP],[CLS] the man furnished the fund to the woman . [SEP],[CLS] the man furnished a woman the fund . [SEP],[CLS] the man furnished the fund to a woman . [SEP],,[CLS] the man furnished the woman the fund . [SEP],[CLS] the man furnished the fund to the woman . [SEP],[CLS] the man furnished the friend from childhood the fund . [SEP],[CLS] the man furnished the fund to the friend from childhood . [SEP],,[CLS] the man furnished the woman the fund . [SEP],[CLS] the man furnished the fund to the woman . [SEP],[CLS] the man furnished a friend from childhood the fund . [SEP],[CLS] the man furnished the fund to a friend from childhood . [SEP]
[CLS] the woman furnished him the fund . [SEP],[CLS] the woman furnished the fund to him . [SEP],[CLS] the woman furnished the man the fund . [SEP],[CLS] the woman furnished the fund to the man . [SEP],,[CLS] the woman furnished the man the fund . [SEP],[CLS] the woman furnished the fund to the man . [SEP],[CLS] the woman furnished a man the fund . [SEP],[CLS] the woman furnished the fund to a man . [SEP],,[CLS] the woman furnished the man the fund . [SEP],[CLS] the woman furnished the fund to the man . [SEP],[CLS] the woman furnished the friend from childhood the fund . [SEP],[CLS] the woman furnished the fund to the friend from childhood . [SEP],,[CLS] the woman furnished the man the fund . [SEP],[CLS] the woman furnished the fund to the man . [SEP],[CLS] the woman furnished a friend from childhood the fund . [SEP],[CLS] the woman furnished the fund to a friend from childhood . [SEP]
[CLS] the man left her the fund . [SEP],[CLS] the man left the fund to her . [SEP],[CLS] the man left the woman the fund . [SEP],[CLS] the man left the fund to the woman . [SEP],,[CLS] the man left the woman the fund . [SEP],[CLS] the man left the fund to the woman . [SEP],[CLS] the man left a woman the fund . [SEP],[CLS] the man left the fund to a woman . [SEP],,[CLS] the man left the woman the fund . [SEP],[CLS] the man left the fund to the woman . [SEP],[CLS] the man left the friend from childhood the fund . [SEP],[CLS] the man left the fund to the friend from childhood . [SEP],,[CLS] the man left the woman the fund . [SEP],[CLS] the man left the fund to the woman . [SEP],[CLS] the man left a friend from childhood the fund . [SEP],[CLS] the man left the fund to a friend from childhood . [SEP]
[CLS] the woman left him the fund . [SEP],[CLS] the woman left the fund to him . [SEP],[CLS] the woman left the man the fund . [SEP],[CLS] the woman left the fund to the man . [SEP],,[CLS] the woman left the man the fund . [SEP],[CLS] the woman left the fund to the man . [SEP],[CLS] the woman left a man the fund . [SEP],[CLS] the woman left the fund to a man . [SEP],,[CLS] the woman left the man the fund . [SEP],[CLS] the woman left the fund to the man . [SEP],[CLS] the woman left the friend from childhood the fund . [SEP],[CLS] the woman left the fund to the friend from childhood . [SEP],,[CLS] the woman left the man the fund . [SEP],[CLS] the woman left the fund to the man . [SEP],[CLS] the woman left a friend from childhood the fund . [SEP],[CLS] the woman left the fund to a friend from childhood . [SEP]
[CLS] the man presented her the plan . [SEP],[CLS] the man presented the plan to her . [SEP],[CLS] the man presented the woman the plan . [SEP],[CLS] the man presented the plan to the woman . [SEP],,[CLS] the man presented the woman the plan . [SEP],[CLS] the man presented the plan to the woman . [SEP],[CLS] the man presented a woman the plan . [SEP],[CLS] the man presented the plan to a woman . [SEP],,[CLS] the man presented the woman the plan . [SEP],[CLS] the man presented the plan to the woman . [SEP],[CLS] the man presented the friend from childhood the plan . [SEP],[CLS] the man presented the plan to the friend from childhood . [SEP],,[CLS] the man presented the woman the plan . [SEP],[CLS] the man presented the plan to the woman . [SEP],[CLS] the man presented a friend from childhood the plan . [SEP],[CLS] the man presented the plan to a friend from childhood . [SEP]
